1,786,17,260
2,32,661,6873
3,36,3,366
4,38,58,1336
5,37,55,1868
6,30,39,1251
7,2557,3,65
8,39,86,1276
9,35,39,482
10,39,53,897
11,2198,3,39
12,2198,7,78
13,29,6,197
14,35,151,1861
15,34,71,615
16,37,200,4520
17,26,127,1416
18,37,118,826
19,30,136,1943
20,34,46,732
21,36,157,1916
22,34,244,4193
23,28,73,1269
24,30,3,71
25,743,29,403
26,743,37,374
27,38,73,990
28,29,7,441
29,1929,4,97
30,33,2,86
31,845,22,233
32,495,3,129
33,38,3,139
34,612,28,448
35,141,23,618
36,2378,4,132
37,743,40,851
38,2512,3,38
39,2198,6,123
40,2109,1,24
41,597,5,161
42,32,60,1462
43,43,68,2008
44,39,107,916
45,34,65,4394
46,25,48,697
47,31,96,1544
48,40,94,373
49,29,173,599
50,32,79,1689
51,34,37,1295
52,31,71,1595
53,41,4,112
54,743,15,513
55,39,102,1027
56,699,43,699
57,31,136,702
58,36,99,1420
59,28,143,2567
60,2288,7,186
61,2647,2,14
62,1884,3,71
63,37,55,794
64,39,180,5413
65,2378,7,166
66,25,149,2373
67,1750,1,27
68,39,93,883
69,32,99,804
70,43,82,909
71,36,156,731
72,36,108,5508
73,36,75,1685
74,1974,5,63
75,50,223,2436
76,32,75,1549
77,39,62,1590
78,34,75,641
79,44,73,491
80,2153,1,20
81,684,18,300
82,1839,7,113
83,24,213,2445
84,27,145,5185
85,29,81,622
86,30,5,106
87,39,66,1524
88,40,26,314
89,32,77,1933
90,76,58,1036
91,38,37,506
92,35,194,3989
93,40,63,767
94,1884,9,65
95,23,56,1257
96,2423,6,74
97,655,50,786
98,2826,3,17
99,524,22,186
100,2737,1,21
101,2109,3,47
102,129,93,2247
103,37,87,1234
104,26,96,911
105,1929,6,410
106,1660,7,63
107,17,45,967
108,39,96,1103
109,34,76,1956
110,38,92,1624
111,32,68,1481
112,568,23,285
113,1884,9,188
114,2557,5,49
115,12,55,737
116,34,74,1358
117,33,187,4097
118,25,61,1601
119,2109,1,11
120,31,31,394
121,2423,7,162
122,2333,6,75
123,32,190,3068
124,699,24,321
125,2109,3,47
126,80,127,1565
127,42,301,2781
128,33,22,718
129,39,16,131
130,30,82,938
131,32,50,1492
132,62,17,351
133,15,358,4310
134,28,99,1373
135,1884,14,54
136,34,10,310
137,28,131,1734
138,582,39,582
139,35,22,301
140,2243,8,48
141,2423,3,46
142,1839,14,161
