sch_no,time_as,time_pe,gender,income,d_edu1,m_edu1,w_1,w_2,Y
111206,0,14,0,5,1,0,4.68,36.47583333,3
111206,0,13,1,6,1,1,4.68,36.47583333,2
111207,0,0,0,5,1,1,4.68,39.79181818,3
111207,1,8,0,5,1,1,4.68,39.79181818,2
111207,3,6,0,5,1,0,4.68,39.79181818,1
111207,2,16,0,8,1,1,4.68,39.79181818,2
111207,0,13,0,5,0,0,4.68,39.79181818,2
111207,0,0,1,5,1,1,4.68,39.79181818,3
111207,0,16,0,5,1,1,4.68,39.79181818,3
111207,0,0,0,2,0,0,4.68,39.79181818,1
111207,0,6,1,4,0,0,4.68,39.79181818,1
111207,8,0,1,2,1,1,4.68,39.79181818,3
111207,0,12,0,3,1,0,4.68,39.79181818,3
111207,0,13,0,6,0,0,4.68,39.79181818,3
111207,3,2,0,5,0,0,4.68,39.79181818,1
111207,5,5,1,3,1,0,4.68,39.79181818,1
111207,0,20,1,5,1,1,4.68,39.79181818,2
111207,0,12,0,3,1,0,4.68,39.79181818,2
111207,2,3,1,6,1,0,4.68,39.79181818,3
111207,0,0,0,4,1,0,4.68,39.79181818,3
111207,0,0,0,6,1,0,4.68,39.79181818,1
111207,3,1,0,4,0,0,4.68,39.79181818,1
111207,2,15,0,6,1,1,4.68,39.79181818,1
111207,2,9,0,3,1,1,4.68,39.79181818,1
111207,0,20,1,3,1,1,4.68,39.79181818,2
111207,5,2,1,3,1,1,4.68,39.79181818,3
111207,0,5,1,8,1,1,4.68,39.79181818,2
111207,0,20,0,5,1,0,4.68,39.79181818,1
111207,4,0,0,5,1,1,4.68,39.79181818,1
111207,2,3,1,5,1,1,4.68,39.79181818,1
111207,7,0,1,5,1,0,4.68,39.79181818,1
111207,14,0,1,7,1,1,4.68,39.79181818,2
111207,5,0,0,3,0,0,4.68,39.79181818,1
111207,3,13,0,6,1,1,4.68,39.79181818,3
111207,0,14,1,3,0,0,4.68,39.79181818,2
111208,0,13,0,3,0,0,4.68,37.518,1
111208,0,15,0,5,1,1,4.68,37.518,2
