"","TruePara","HT","GREG","Ridge","Lasso","SCAD","Ridge_MC","Lasso_MC","SCAD_MC","Lasso_Ridge","SCAD_Ridge","Oracle"
"1",235062.535253937,232665.022301701,235569.262937412,233422.284673664,235477.677930732,235540.878382229,233627.026910807,235518.429732276,235540.81478344,235477.863783759,235597.873069075,235540.653350956
"2",235710.263510246,233947.177714314,235543.236788688,234861.534120202,235458.682920771,235524.241563462,235041.130156047,235501.734178256,235524.328844231,235458.677660425,235490.299504734,235524.549125388
"3",235478.638235642,234296.494362341,236030.619709496,235694.858440813,235985.194812004,235957.209623974,235976.284544612,236007.417034756,235957.467975936,235986.643767746,236035.731224524,235957.884108113
"4",235418.156445723,235975.751572724,235733.008617267,235746.741726609,235711.632348187,235620.807160942,235692.87083387,235708.260506286,235620.892129756,235710.825023254,235730.010279771,235626.001288768
"5",235195.298930595,236558.146584554,235045.60868016,235476.547606223,235088.391489509,235052.410732796,235150.025237614,235052.222791841,235052.337844343,235088.564104472,235017.185091539,235052.281523824
"6",235222.133888682,235193.355066505,235708.83444154,235473.563606279,235613.829603883,235534.715837048,235545.254232245,235625.993353919,235534.700047597,235613.297095157,235528.701149669,235538.084455303
"7",234594.045357644,232528.204507805,235132.984769675,233233.896632455,235058.822330887,235114.852217785,233372.051090751,235078.130268565,235114.276763852,235059.138839226,235027.911865211,234891.33601104
"8",234915.681409086,232421.060032335,235044.55227584,234846.632712977,234980.25659511,234998.275527114,235541.903115362,235014.83289791,234998.670436251,234980.539006135,234904.636883417,234998.173476187
"9",235466.539361619,235398.07032643,235375.156273792,235210.675472845,235399.848957183,235370.082929927,235187.300148062,235399.865092359,235370.08205428,235400.256079256,235418.145164455,235369.383589012
"10",234921.870000985,235525.894773825,235468.43142257,235067.00126698,235400.24611036,235380.348185747,234962.042795006,235398.695474487,235380.341809273,235400.094823412,235332.605029448,235380.551425695
"11",235499.999242551,237862.445456454,235676.263233429,237247.924531781,235685.078700606,235638.510974377,237123.329523513,235679.117679539,235638.263157966,235684.443717188,235410.701894153,235637.969190085
"12",234998.851184102,235608.115153004,235292.075426882,235685.567121082,235136.406999147,235008.889625033,235705.476678434,235125.006105054,235008.824567328,235136.253311712,234985.673980157,235008.625422427
"13",235202.304382543,233300.367740041,235489.494781793,234177.949092502,235439.416624095,235440.686311786,234428.387938425,235467.814444914,235441.289944166,235438.764579531,235474.489230519,235457.203024506
"14",234744.298542774,233932.356491963,235047.933316397,234764.667486089,234954.676375585,234960.797895858,234964.031767532,234976.291492407,234960.313461288,234954.352353981,235042.578217427,234960.155241908
