"","TruePara","HT","GREG","Ridge","Lasso","SCAD","Ridge_MC","Lasso_MC","SCAD_MC","Lasso_Ridge","SCAD_Ridge","Oracle"
"348",234825.844524247,238194.748182292,234651.403952005,233913.628603178,234368.75882689,234822.333823804,233422.186803747,234269.483746285,234821.064389607,234639.807215296,234856.037836612,234521.095836503
"349",234417.944109379,230156.513213552,234594.471218563,231944.886521236,234530.781810336,234703.972914281,232390.214327577,234684.492918563,234702.180739193,233293.166919069,234713.235156004,235024.002457651
"350",234528.319296609,227530.324132797,234547.194183699,230465.553819978,233840.241325114,234288.06059742,230954.290493051,234129.465237942,234290.286056372,231853.173210371,234286.698853388,233702.43690088
"351",235399.841229678,241683.466406964,234541.860562107,239725.542062976,235118.226565905,234531.781588737,239272.473717288,234835.065104469,234447.506427121,235815.577822842,234691.103786225,234777.661520493
"352",234963.791120911,233796.280342499,235865.537294894,234797.836172999,235805.167495938,235645.495574068,235134.765886655,235839.500493654,235645.363551327,235388.610753422,235597.186639888,236271.145653248
"353",234877.242458462,233454.75284199,234237.784278469,232749.442600723,234243.692627437,234577.323747663,232532.529010453,234276.685657306,234579.807680161,233583.562488187,234575.868370849,234444.649182291
"354",235410.551857652,236419.548407303,238159.361364626,236210.975116291,237841.224903897,238139.960931288,236169.771003579,237856.280168694,238139.319766656,237212.689675498,238140.814908108,236488.864853278
"355",235505.080305108,235211.918799547,234141.803998484,235691.416406332,234127.061436908,234142.524325535,235802.902174849,234056.778991307,234142.462968292,233637.457583896,234142.556576263,235253.552173406
"356",235491.800472962,235991.745699002,236407.124013886,235193.62119663,236214.608350448,236406.150915074,235007.405869015,236220.571829559,236406.061310159,235707.319387384,236406.219187183,235652.028147857
"357",234543.992756656,237211.973496461,233493.151158295,234876.681138522,233642.550687813,233316.816182192,234107.602878093,233513.219048816,233317.01379815,233837.822758171,233323.08087312,234001.849426763
"358",234902.388520689,237375.52506668,235580.173380439,234802.026424216,234892.524007587,234980.723547914,234332.167499084,234720.201828211,234980.265042641,235026.180221416,234979.712611702,234633.943912764
"359",234807.50256087,228709.504292539,236914.590362214,236787.166560913,236087.832586296,236276.489479133,239319.890843972,236330.377334886,236305.393777031,233802.369264301,236273.809572788,236188.876183681
"360",234331.994724113,241471.502397948,235900.631529508,237357.612514103,235967.855625188,235179.742331172,236008.4634542,235793.947688462,235177.087731236,236074.834043213,235089.300108188,235795.061141925
"361",234873.516924275,227220.468828552,235211.976725532,230336.663380164,233538.667138233,235269.470863333,230922.809681354,233852.750335997,235269.231561678,231132.738752579,235267.557411307,234742.818908477
"362",235291.66016432,238353.109254791,235989.505351002,238562.814935137,236455.521468935,236866.397418177,238601.167954371,236409.982924195,236874.098026597,235801.434278527,236862.310825253,236642.413707031
"363",234409.874209837,235570.90972462,234922.353728089,234697.425559132,234608.964477851,234785.830848095,234542.405326057,234584.241075882,234786.049073625,234172.248918459,234780.540803239,234502.796068957
"364",234647.682402353,238793.786012045,234457.534941641,237885.390340415,235225.153985822,234995.655871445,237578.634530618,235003.752368326,234996.22010055,235932.681160071,234996.98069548,234950.661762052
"365",235287.18675778,234323.663943724,236680.296805268,234593.286164231,236320.416946544,236166.707918174,234668.558954504,236379.514686177,236166.652756582,235343.094915363,236165.892488419,236166.925456589
"366",235472.971466627,230237.326567486,236569.094753873,233989.572285707,235933.184909411,236582.889432601,234668.714012746,236348.137551633,236583.114200822,234096.14105376,236581.72500375,236183.214317357
"367",235164.191520405,234105.391912526,235749.718884017,235516.080345006,235517.951741088,235928.403459711,235736.180202237,235606.531040948,235928.154908196,234592.404642058,235927.636656277,235962.844361788
"368",235339.253019682,234337.860520694,237446.687931365,235949.917762891,236695.478479433,237391.564290291,236418.919670395,236775.094709486,237389.972084307,235519.532885106,237388.568720953,236634.140099543
"369",234941.397176259,237937.302347615,236412.206654686,238545.19555275,236529.848231613,236411.330036008,238682.247132225,236496.827442598,236411.458094695,236391.385049682,236413.804784627,236434.691211027
"370",235145.750381281,231174.732877758,236250.903625646,234235.973466687,235882.127309969,236822.090865803,235203.384841863,236038.060897077,236823.22122502,234508.742319905,236821.597636237,235771.634329065
"371",235030.791595997,234129.449541735,235924.278808208,233883.613296645,235367.811206662,235041.27598638,233802.699518283,235382.827399847,235041.2353478,234965.100287872,235040.747396558,235008.49783193
