"","TruePara","HT","GREG","Ridge","Ridge_MC","Lasso","Lasso_MC","Lasso_Ridge","SCAD","SCAD_MC","SCAD_Ridge","Oracle"
"1",235062.535253937,228652.593255284,237601.786361487,230434.160642161,230982.403880546,236798.912734213,236984.779165983,236801.149275219,237603.538901593,237604.821448784,237470.327814863,236747.832752024
"2",235710.263510246,233521.169693423,235601.904401356,235702.691962851,236166.887643389,235629.328907197,235662.971217387,235626.897936031,235558.853510393,235558.882540567,235562.108597232,236021.920906126
"3",235478.638235642,240098.142502257,237958.089300367,239760.42161644,239688.066451629,237180.83933581,237114.011782402,237181.32103436,237814.045752634,237814.22076577,237256.960620057,236493.087273168
"4",235418.156445723,230850.979586481,235050.010182689,235643.187759238,236633.62144863,234868.284591806,234966.781242458,234868.742457578,234923.703652266,234924.097994501,234935.847689508,234994.97648218
"5",235195.298930595,236965.978115161,234984.427671703,235529.105820157,235306.466011846,234762.125988767,234713.454329144,234763.856533813,235015.348312314,235015.145219933,234783.825981579,234915.929719839
"6",235222.133888682,238534.219016429,236081.241492086,235212.688688162,234655.99335716,235496.857762347,235439.634345377,235495.624971867,236049.749144151,236050.716919842,235921.999452054,234882.116151073
"7",234594.045357644,238789.060468685,237284.761181561,239595.507335346,239717.834766646,237279.69725869,237249.130772741,237278.573899425,237251.049291811,237251.26680418,237247.951026367,236759.115421497
"8",234915.681409086,236919.016698131,236511.206967535,238898.242707692,239408.179332851,236525.075653431,236518.235932931,236527.34319448,236480.545930036,236480.484493662,236464.638463268,236032.348331215
"9",235466.539361619,237000.477479313,237557.084818144,236499.49200383,236415.968523228,236966.88451763,236966.215458191,236964.910503566,237514.732984345,237514.013754373,237348.694581364,236531.533098096
"10",234921.870000985,236891.25561318,237202.827328875,234943.092247337,234829.019053016,236906.921402471,236907.287365739,236906.356669621,237227.432822855,237227.268251861,236969.809057089,236488.74645399
"11",235499.999242551,235750.114672449,235795.19345708,232674.63899497,232228.411290979,235528.623051328,235523.485440233,235532.650510308,235772.868392132,235772.873303188,235575.087084558,236424.520912967
"12",234998.851184102,233391.856602775,235323.569427448,235565.017566611,236184.240339101,235302.716676694,235341.708916876,235302.228146078,235519.672332623,235520.225033057,235446.682786094,234642.877485235
"13",235202.304382543,239725.576535497,235099.904055263,234749.492668315,233544.159342981,235637.01330203,235563.849053331,235636.512199323,235384.557449412,235385.031827397,235595.910764013,235647.234856696
"14",234744.298542774,225831.22455559,236845.418633371,232911.889230949,235496.23130165,236352.783576124,236757.678242305,236356.551311914,236921.881729457,236922.276962125,236628.557746508,236165.379888519
"15",236002.9133473,234747.111167413,236829.198900116,236038.569718672,236173.185866733,236465.202096213,236499.461072397,236467.179096616,236808.690962126,236808.518071382,236767.302817803,236873.00341453
"16",234608.187168656,232979.234385137,234867.216243244,234759.733082486,235348.314616832,234555.034674689,234580.947306782,234555.726348763,234840.349306012,234839.106222767,234701.014170293,234350.242136319
"17",234825.220061284,235006.025696836,235435.441926545,237134.637130458,237847.330249489,235034.319747849,235034.845169399,235032.059423414,235180.042342479,235180.007581947,234988.955999926,234750.438371276
"18",234821.317983363,234162.619506577,235054.165016074,234790.809187547,234913.014037454,234609.198359297,234615.923717679,234603.953769495,235158.360872166,235158.052902982,234842.123504768,234315.897860609
"19",235354.305112011,232812.431898887,237491.080916278,233549.927904179,233648.376678634,237304.39038532,237405.883016866,237306.162897549,237522.901329319,237525.380691203,237431.216063316,236977.02223904
"20",234827.06251497,234137.833319073,236454.203973382,237835.364336052,238799.2200404,236792.84830988,236836.006799296,236797.062111049,236496.645912914,236495.175820306,236696.587362652,236388.080045396
"21",234986.022184006,240605.836865564,233761.760176372,236704.712226891,235368.424106026,233888.20959462,233738.736211283,233883.647312568,233648.11921111,233648.776645539,233836.24574557,233612.654290027
"22",234663.15980853,234514.143752094,235591.777218294,233382.224634441,233180.028691814,234960.720359812,234970.537678142,234958.641725584,235585.488461045,235585.370190927,235198.886336323,234624.990143895
"23",235371.53001947,228810.784480304,237628.696651862,231663.459580786,232794.689578899,236882.497903119,237016.309210241,236879.023089876,237554.158830929,237555.404699297,237356.338923663,236577.691556314
"24",234981.143373924,236835.926622409,233971.042838276,236767.853287514,236756.462828173,233904.342622831,233851.500925671,233907.545603407,233841.871095323,233842.075011676,233779.304063815,234013.628301024
"25",235565.358257136,239048.857116353,234659.476906568,235411.651739079,234374.4795281,234857.834155059,234766.887165628,234856.647236711,234775.764301075,234776.193056838,234893.919967306,235154.066095504
"26",235412.084267168,243149.814451988,236855.904650183,239416.379327967,238868.959547675,236670.757189708,236523.658963013,236668.974384806,236972.448178331,236970.91784953,236765.003313289,236184.146009889
"27",235104.294349191,235737.280833157,237873.881883493,236378.249734914,236519.512911519,237155.996563009,237182.401630755,237152.485250316,237929.188872092,237929.486528298,237640.287359944,236731.964669325
"28",234466.56308478,225927.002964765,234666.898243565,231298.040499625,232672.693337346,234221.935097979,234384.030038606,234221.907812834,234580.179544943,234579.485116872,234425.807541505,234496.044786634
"29",235374.852516683,236868.741936932,236621.268618278,235848.172376744,235618.849112061,236165.730685737,236153.361547522,236165.900363428,236622.052600239,236622.000115539,236386.197973836,235879.289001776
"30",234764.597919147,236250.502888544,236511.311637721,236059.401108722,236051.267017179,236306.271446151,236307.440701296,236306.027376267,236331.268191315,236331.264580067,236371.41725682,235864.249872301
"31",235200.911986005,238696.810617672,236034.209356931,234860.624136404,234092.838666651,235690.413759901,235639.982189995,235692.818174308,236003.554495754,236001.455178807,235836.097594052,235260.38815569
"32",235149.948036871,230701.094840772,236714.204664736,234328.63602315,235194.067351114,236364.415148205,236487.829831593,236363.978747438,236599.965167442,236600.658100929,236537.610546835,235970.289852009
"33",234558.311882949,238641.533298431,235756.046315521,234914.695563611,234065.122033665,235375.843884586,235314.926820312,235375.404050007,235859.845939855,235859.281814833,235612.916339813,235270.160159909
"34",234798.629330307,233298.803478174,234818.53113231,232277.923536107,232081.97097467,234211.047370508,234227.771341248,234212.326334209,235001.695592214,235001.574727998,234656.028909969,234901.322976332
"35",235712.791590665,230654.012221548,236215.361106812,231254.003245257,231302.673606729,235301.083972316,235416.738951664,235301.331782496,236115.257059644,236115.077967702,235782.780101574,235511.935295824
"36",234792.37866629,236730.348087613,235510.122012774,235984.438580038,235765.044958785,236055.077709626,236037.613499266,236053.258122049,235523.301734017,235522.987366497,235764.336746548,236492.046688928
"37",234807.199112766,235454.959157639,235148.051963887,236276.593873584,236511.62264319,235003.228928544,234995.832278147,234999.22898647,235131.834919404,235131.750788748,235073.670812302,235139.862941248
"38",235066.459819676,229315.911883624,235229.463058073,234118.140205921,235545.100528507,234914.952444901,235012.087014853,234912.455016964,235267.999015956,235268.255965017,235090.334707084,235126.193120694
"39",235564.522250635,235854.698835077,236314.844442426,234464.184043731,234270.761693746,235921.564811835,235923.046981302,235916.594790812,236418.212833267,236418.320185169,235998.696069421,235838.010671036
"40",234842.93479943,237683.04736736,236153.634865835,237116.750684489,237002.071988382,235331.416967313,235294.521149317,235331.368130622,236158.314342598,236158.245369549,235634.425867587,234709.194291101
"41",235137.205035281,240986.052126514,236782.112213087,242304.914143376,242366.000894741,236961.427206604,236847.535271358,236964.064045461,236654.828690805,236655.869699947,236736.89134712,237133.224762021
"42",234680.467905931,226989.573624673,236045.47030698,230267.398996966,230935.331372199,235769.380322613,235965.178907206,235766.840932863,236066.395367415,236067.334563324,236105.720170083,235494.779117928
"43",234780.242420583,233928.589593085,235357.781632723,233742.670688198,233703.714493147,235186.964865759,235219.207758931,235183.573005553,235281.414872075,235281.405550512,235349.479912909,234974.61735583
"44",235541.214128371,229933.744318068,234742.567717236,234890.013985416,236071.265575128,234855.526345174,234965.306496768,234859.128151247,234728.123149179,234726.131952608,234914.093561232,235094.940579628
"45",235440.387946533,231336.973844472,235909.548384041,231915.273314373,232092.446800371,235397.327930662,235469.185260942,235397.109102828,235974.868695582,235974.567692949,235614.125030455,234789.977365135
"46",235652.494340583,241765.359044155,236129.847955225,237278.062934803,235815.305925811,235895.321828405,235802.808905591,235894.673568747,236141.516635354,236141.278882736,235972.905700644,235578.68638006
"47",234458.167890415,234039.887779274,236694.434976764,235609.535324535,236198.066373705,236192.100655834,236262.355440342,236196.687039219,236770.371257519,236771.059758238,236522.709617653,235340.702321369
"48",234322.597408292,225902.384376371,236868.451737039,231895.09076811,233489.438779675,236253.111294228,236477.224009295,236253.941409427,236975.898078281,236977.79182439,236596.254686439,235946.593661734
"49",234873.912926133,226602.835113091,235486.282771639,231615.834393806,232990.030285599,234821.905366462,234961.268221365,234823.250183765,235478.954925183,235482.96797168,235094.205661763,234501.198478083
"50",235194.148015581,230126.933119949,235413.835215566,232447.070645265,233151.359210009,234739.65879328,234819.68349476,234739.48308143,235671.107573984,235671.882256963,235287.442626174,235137.271700918
"51",235417.796984611,232384.550122114,236173.594351945,235724.252518815,236527.372972213,236156.03338737,236228.85708458,236155.000439208,236172.008803683,236171.107948304,236040.58591996,235931.200831075
"52",235779.026148136,236567.105751673,235954.283950246,236581.262528512,236584.565385416,235614.523684454,235594.859859246,235616.942647875,235963.635042141,235963.689986661,235755.095081011,235510.893691419
"53",234914.630988938,236471.070827721,237039.918245484,236626.959612242,236665.873004752,236727.178019872,236732.034961177,236728.652203572,237132.959908546,237129.120173168,236870.543728112,235603.287868038
"54",235436.422666186,245514.965643114,238031.076151279,240942.959897258,240281.798866605,237545.428907955,237380.281003737,237547.907414056,237888.902242232,237886.966051848,237762.656577488,236645.18306858
"55",235521.693193662,237780.262197155,237565.633998402,236840.809366654,236703.056482098,237203.585958865,237192.753419293,237203.617022496,237636.981432821,237637.084555228,237466.082919393,236614.834328419
"56",234744.380265677,231117.07902813,235054.649112151,234001.146916095,234801.528376999,234777.038472642,234827.425984752,234776.203931689,234973.597382192,234973.071834621,234771.143450738,234622.661665273
"57",234791.04690177,230936.780165169,235183.89310568,233631.512478006,234025.41872607,234625.614068319,234715.980101609,234624.709358861,235036.209902547,235036.264322405,234801.530409309,233754.032879724
"58",233935.851952692,230494.681297051,233765.129844421,232977.790963396,233505.785152108,233922.526677618,233991.178663935,233924.097650575,233765.291938677,233766.56781642,233840.068717705,233716.571332694
"59",234948.645415299,242359.849849524,236345.482046127,237801.777347517,235660.405119496,236329.617628582,236235.397200397,236324.741567661,236416.285520717,236430.54193986,236158.362239661,235366.299194894
"60",234774.860514617,233861.046949273,235777.245666685,237145.195535507,237535.664856132,235691.115849734,235732.175503465,235691.436299259,235643.330919375,235643.558593114,235809.258618496,235531.280874905
"61",233925.187429099,232657.584454584,235260.944163644,233346.276209645,233552.765687277,235224.967617565,235267.095556011,235224.576440881,235323.239244086,235323.08274062,235255.657836727,234915.904443842
"62",235659.115320397,241472.416572926,235416.385507051,239350.003799505,238921.133583175,235202.829546455,235053.38334474,235200.982909696,235465.937158046,235430.090456022,235158.261203759,235209.500714255
"63",234337.991182911,236314.890146116,233523.432221972,232838.022704157,231960.667664233,233465.393125056,233416.401746746,233466.008680933,233445.37094668,233444.18437028,233492.068070716,233663.848944583
"64",235117.00942694,232915.190409815,236750.576174186,232702.488405086,232670.75918416,236369.966588073,236473.169655758,236369.38490713,236737.794236631,236738.337554584,236590.221257155,236131.353746652
"65",234930.879414465,232331.886200127,236754.076009566,233495.697099253,233722.404340259,236294.776350114,236369.327855171,236292.918251735,236775.449006846,236776.283818521,236486.765329273,235705.731588881
"66",235348.633734634,236957.604518822,235774.962176576,235887.85931969,235649.038061022,235702.667882589,235682.200730178,235700.854732564,235741.787736747,235741.77873207,235845.634769371,235453.246433033
"67",235028.670291183,235521.937919323,236433.496859917,234197.396649597,233844.583792856,235854.795720403,235862.347781549,235854.506459406,236240.024747843,236240.139042551,236027.771531765,235433.039162389
"68",234446.234498203,229989.145226961,235767.755773942,233612.537155242,234970.972527615,235647.707283254,235725.444556389,235646.800718253,235944.625308044,235943.427257922,235958.20549464,235219.508104919
"69",234593.981762184,229986.020793597,235219.704237408,231552.729982426,231874.41685414,234557.300972912,234664.210570566,234557.770991523,235246.544250998,235247.50809227,234963.868022018,234629.908251768
"70",234889.040903493,232033.111815643,236888.651537719,233209.058270591,233563.558685338,236271.453021068,236344.14839221,236270.969325748,236731.964106288,236731.291443926,236483.055224585,235733.869768774
"71",234816.375639625,233462.551761703,234768.564203412,235526.801668639,235943.347376202,234925.028909787,234954.28549119,234925.644227481,235036.244371168,235036.667358085,235015.513865941,234692.392827971
"72",234831.838132706,233801.965379408,236130.213982802,235553.74098659,236123.25696835,235803.050483503,235841.105446553,235802.276934295,236112.855169493,236113.140721371,235862.803025893,235670.399180801
"73",234640.742406889,238339.712645479,234793.541893871,236415.18872083,236040.119321286,234312.986291846,234241.782712832,234314.122263447,234601.033312855,234601.232496588,234302.602311975,233693.376914897
"74",234532.640608708,238370.152094222,235604.282302113,239559.113418084,239837.144769323,235675.125023278,235619.788833152,235674.202663627,235679.560479741,235679.061629301,235615.774266798,235912.5664142
"75",235215.384177229,233714.694381895,237210.069320751,235120.515132224,235509.674229648,236975.728835367,237035.421293968,236976.96587047,237194.04286151,237194.396039289,236969.652125349,236081.743946561
"76",235074.28283574,234628.161829699,233401.834745688,234155.579646448,233969.903853903,233517.430554586,233498.897196195,233518.24295147,233408.394436013,233408.199267326,233457.608681299,233636.497343451
"77",234370.971093537,234860.327823945,234451.668167865,234112.80897344,233904.867797632,234242.576222398,234230.438565476,234244.049380274,234382.476507291,234382.559086536,234195.374800988,233663.056422743
"78",235182.031774101,238488.381973221,236406.508814242,236334.975482135,235645.030898569,236298.990535278,236251.503802949,236298.014131642,236468.467519482,236468.504088882,236327.453628494,235826.606923651
"79",234644.596470464,233444.366067059,236379.606620624,233823.385042918,233939.572992592,235844.005650037,235898.635964084,235845.297117756,236124.480017777,236141.732426627,235974.856003888,234927.868334184
"80",234592.145266811,227899.353323648,235879.558839874,230597.168705517,231344.389899318,235616.954019962,235767.775845872,235616.744317353,235839.731858473,235840.725930836,235959.755232523,235453.213055219
"81",235167.348805288,232145.605583882,237747.295419398,234846.214962611,234920.223827363,237365.123518738,237516.311503817,237366.730287365,237966.392646666,237964.382488759,237609.570634987,236734.321242774
"82",234889.423689202,236819.682409321,237819.850683115,235524.665372152,235337.652991282,237800.554295021,237821.690872848,237801.716567738,237875.006811459,237875.246700338,238038.77982143,237545.961507669
"83",234533.384358594,233222.588985222,235135.712720385,233361.691699615,233381.441399012,234780.936278741,234813.842129791,234780.859465093,235166.344911729,235166.131312411,235097.097520406,234547.537817246
"84",234399.582842323,238945.957685497,234727.165302177,238090.666953404,237931.118195466,234785.167218024,234705.494182331,234786.628673905,234747.970829508,234748.202284427,234532.70459546,234378.985267075
