"","TruePara","HT","GREG","Ridge","Lasso","SCAD","Ridge_MC","Lasso_MC","SCAD_MC","Lasso_Ridge","SCAD_Ridge","Oracle"
"1",235062.535253937,228652.593255284,237601.786361487,230434.160642161,237498.75089694,237413.916559745,230982.403880546,237523.846386688,237413.953245709,236541.749160463,237411.52086286,236747.832752024
"2",235710.263510246,233521.169693423,235601.904401356,235702.691962851,235787.387935869,235596.680227891,236166.887643389,235844.652089189,235599.150202039,235208.415330723,235599.245804677,236021.920906126
"3",235478.638235642,240098.142502257,237958.089300367,239760.42161644,237043.946636254,237236.655814511,239688.066451629,236945.257257396,237236.721271311,237070.964545855,237233.61904597,236493.087273168
"4",235418.156445723,230850.979586481,235050.010182689,235643.187759238,234702.949111024,234808.798571308,236633.62144863,234833.714237947,234808.292666164,233600.932814301,234885.26289242,234994.97648218
"5",235195.298930595,236965.978115161,234984.427671703,235529.105820157,234744.964421054,234863.251948624,235306.466011846,234663.817687706,234862.985923479,234499.972159007,234861.738119475,234915.929719839
"6",235222.133888682,238534.219016429,236081.241492086,235212.688688162,235120.664098741,236033.347647481,234655.99335716,234945.561208212,236033.400496754,235571.357676148,236029.180870163,234882.116151073
"7",234594.045357644,238789.060468685,237284.761181561,239595.507335346,237274.000176315,236760.097243033,239717.834766646,237230.293080683,236760.493006304,236826.710429168,236759.588221517,236759.115421497
